name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
North Scottsdale Road,0,5589756,1,200,1,264.6531246680074,3,35,,primary,3,"LINESTRING (-111.9262877 33.4312176, -111.9262831 33.4326057, -111.9262763 33.43289, -111.9262698 33.4335976)",auto,1
North Scottsdale Road,1,5589756,200,1,1,264.6531246680075,3,35,,primary,3,"LINESTRING (-111.9262698 33.4335976, -111.9262763 33.43289, -111.9262831 33.4326057, -111.9262877 33.4312176)",auto,1
South Farmer Avenue,2,5590090,2,3,1,142.09986632871332,1,,,residential,6,"LINESTRING (-111.944268 33.4307934, -111.9442601 33.4299032, -111.9442568 33.4295279, -111.9442567 33.4295155)",auto,1
South Farmer Avenue,3,5590090,3,2,1,142.09986632871335,1,,,residential,6,"LINESTRING (-111.9442567 33.4295155, -111.9442568 33.4295279, -111.9442601 33.4299032, -111.944268 33.4307934)",auto,1
South Farmer Avenue,4,5590095,17,18,1,81.57797929323331,1,25,,residential,6,"LINESTRING (-111.9442875 33.4146337, -111.9442873 33.4145578, -111.9442885 33.4144819, -111.9442932 33.4144534, -111.9443066 33.4144231, -111.944311 33.4143981, -111.9443115 33.4142442, -111.9443138 33.4139026)",auto,1
South Farmer Avenue,5,5590095,18,17,1,81.57797929323331,1,25,,residential,6,"LINESTRING (-111.9443138 33.4139026, -111.9443115 33.4142442, -111.944311 33.4143981, -111.9443066 33.4144231, -111.9442932 33.4144534, -111.9442885 33.4144819, -111.9442873 33.4145578, -111.9442875 33.4146337)",auto,1
South Farmer Avenue,6,5590095,18,19,1,80.16146292530404,1,25,,residential,6,"LINESTRING (-111.9443138 33.4139026, -111.9443094 33.4131817)",auto,1
South Farmer Avenue,7,5590095,19,18,1,80.16146292530404,1,25,,residential,6,"LINESTRING (-111.9443094 33.4131817, -111.9443138 33.4139026)",auto,1
South Farmer Avenue,8,5590095,19,20,1,240.28235846214778,1,25,,residential,6,"LINESTRING (-111.9443094 33.4131817, -111.9443088 33.4130312, -111.9443073 33.411888, -111.9443024 33.4110208)",auto,1
South Farmer Avenue,9,5590095,20,19,1,240.2823584621478,1,25,,residential,6,"LINESTRING (-111.9443024 33.4110208, -111.9443073 33.411888, -111.9443088 33.4130312, -111.9443094 33.4131817)",auto,1
South Farmer Avenue,10,5590095,20,21,1,84.15425738838503,1,25,,residential,6,"LINESTRING (-111.9443024 33.4110208, -111.9443008 33.4108613, -111.9442992 33.4106384, -111.9442963 33.410264)",auto,1
South Farmer Avenue,11,5590095,21,20,1,84.15425738838505,1,25,,residential,6,"LINESTRING (-111.9442963 33.410264, -111.9442992 33.4106384, -111.9443008 33.4108613, -111.9443024 33.4110208)",auto,1
South Farmer Avenue,12,5590095,21,22,1,83.10714685212753,1,25,,residential,6,"LINESTRING (-111.9442963 33.410264, -111.9442959 33.4098926, -111.9442956 33.4097688, -111.9442959 33.4095166)",auto,1
South Farmer Avenue,13,5590095,22,21,1,83.10714685212753,1,25,,residential,6,"LINESTRING (-111.9442959 33.4095166, -111.9442956 33.4097688, -111.9442959 33.4098926, -111.9442963 33.410264)",auto,1
South Farmer Avenue,14,5590095,22,23,1,83.16286277164508,1,25,,residential,6,"LINESTRING (-111.9442959 33.4095166, -111.9442946 33.4091443, -111.9442946 33.409073, -111.9442945 33.4087687)",auto,1
South Farmer Avenue,15,5590095,23,22,1,83.16286277164508,1,25,,residential,6,"LINESTRING (-111.9442945 33.4087687, -111.9442946 33.409073, -111.9442946 33.4091443, -111.9442959 33.4095166)",auto,1
